date_time,Amount_received
2023-01-02,6.946666666666666
2023-01-03,6.113333333333333
2023-01-04,4.966666666666667
2023-01-06,5.863333333333333
2023-01-07,2.59
2023-01-08,3.7133333333333334
2023-01-09,4.335
2023-01-10,1.8050000000000002
2023-01-11,1.87
2023-01-12,6.323333333333333
2023-01-13,4.615
2023-01-14,3.6650000000000005
2023-01-15,7.45
2023-01-16,2.75
2023-01-17,5.885
2023-01-18,2.5050000000000003
2023-01-19,4.34
2023-01-20,1.4066666666666665
2023-01-22,2.19
2023-01-23,3.64
2023-01-24,8.355
2023-01-25,1.885
2023-01-26,6.31
2023-01-27,7.098000000000001
2023-01-28,5.11
2023-01-29,7.904999999999999
2023-01-31,5.123333333333334
2023-02-01,3.72
2023-02-02,7.48
2023-02-03,4.98
2023-02-05,4.202
2023-02-06,2.6574999999999998
2023-02-07,5.873333333333332
2023-02-08,5.95
2023-02-09,5.59
2023-02-10,3.98
2023-02-11,3.968
2023-02-12,2.9850000000000003
2023-02-14,4.44
2023-02-15,9.98
2023-02-16,8.083333333333334
2023-02-17,4.0840000000000005
2023-02-18,5.383333333333333
2023-02-19,6.9225
2023-02-20,2.7600000000000002
2023-02-22,7.45
2023-02-23,3.87
2023-02-25,9.22
2023-02-26,5.01
2023-02-27,5.576666666666667
2023-02-28,4.423333333333333
2023-03-01,3.3
2023-03-02,5.3933333333333335
2023-03-03,4.033333333333333
2023-03-04,3.89625
2023-03-05,0.13
2023-03-06,4.83
2023-03-07,4.41
2023-03-08,6.5875
2023-03-09,5.6274999999999995
2023-03-10,2.24
2023-03-11,4.794
2023-03-12,4.4
2023-03-13,1.82
2023-03-14,0.8
2023-03-15,4.015
2023-03-16,8.235
2023-03-17,7.323333333333333
2023-03-19,5.045
2023-03-20,6.715
2023-03-21,3.29
2023-03-22,3.8850000000000002
2023-03-23,3.165
2023-03-24,7.786666666666666
2023-03-25,8.165
2023-03-26,6.2683333333333335
2023-03-27,6.482000000000001
2023-03-28,3.14
2023-03-29,2.7100000000000004
2023-03-30,6.765
2023-03-31,6.9025
2023-04-01,8.21
2023-04-02,5.836666666666667
2023-04-03,6.34
2023-04-04,5.0825000000000005
2023-04-05,4.2475000000000005
2023-04-06,5.853333333333333
2023-04-07,2.015
2023-04-08,6.618571428571428
2023-04-09,1.2825
2023-04-10,4.27
2023-04-11,3.6133333333333333
2023-04-12,4.9
2023-04-14,1.165
2023-04-15,3.7566666666666664
2023-04-16,8.54
2023-04-17,5.717499999999999
2023-04-18,4.2
2023-04-19,4.173333333333333
2023-04-20,5.279999999999999
2023-04-21,7.42
2023-04-22,2.12
2023-04-23,6.58
2023-04-24,7.116
2023-04-25,5.505
2023-04-26,5.075
2023-04-27,4.796666666666667
2023-04-28,5.02
2023-04-29,7.24
2023-04-30,4.75
2023-05-01,5.9875
2023-05-02,4.756666666666667
2023-05-03,1.52
2023-05-04,6.1925
2023-05-05,3.8266666666666667
2023-05-06,2.76
2023-05-07,5.134
2023-05-08,5.704
2023-05-09,7.91
2023-05-10,5.023333333333333
2023-05-12,8.786666666666667
2023-05-13,4.524
2023-05-14,5.223333333333334
2023-05-15,1.96
2023-05-16,4.52
2023-05-17,3.64
2023-05-18,6.244999999999999
2023-05-19,8.75
2023-05-20,4.1899999999999995
2023-05-21,5.22
2023-05-22,3.9333333333333336
2023-05-23,4.8775
2023-05-24,3.8899999999999997
2023-05-25,5.7075
2023-05-26,4.3975
2023-05-27,5.206666666666667
2023-05-28,4.615
2023-05-29,4.71
2023-05-30,5.58
2023-05-31,6.9
2023-06-01,4.82
2023-06-02,4.022
2023-06-03,1.26
2023-06-04,5.72
2023-06-05,1.18
2023-06-06,3.36
2023-06-07,3.0400000000000005
2023-06-08,5.32
2023-06-09,4.59
