date_time,Amount_received
2023-01-02,2.06
2023-01-03,0.08
2023-01-04,2.09
2023-01-06,3.9
2023-01-07,2.59
2023-01-08,1.16
2023-01-09,1.46
2023-01-10,1.09
2023-01-11,0.08
2023-01-12,3.14
2023-01-13,0.8
2023-01-14,0.11
2023-01-15,7.45
2023-01-16,2.75
2023-01-17,4.58
2023-01-18,0.24
2023-01-19,4.34
2023-01-20,0.0
2023-01-22,0.48
2023-01-23,3.64
2023-01-24,7.54
2023-01-25,1.75
2023-01-26,6.31
2023-01-27,4.61
2023-01-28,2.1
2023-01-29,6.11
2023-01-31,3.44
2023-02-01,3.72
2023-02-02,6.71
2023-02-03,2.16
2023-02-05,1.28
2023-02-06,0.15
2023-02-07,2.75
2023-02-08,1.63
2023-02-09,5.59
2023-02-10,2.26
2023-02-11,0.25
2023-02-12,1.52
2023-02-14,3.03
2023-02-15,9.98
2023-02-16,7.48
2023-02-17,2.14
2023-02-18,2.42
2023-02-19,1.8
2023-02-20,1.61
2023-02-22,6.01
2023-02-23,3.87
2023-02-25,9.22
2023-02-26,2.57
2023-02-27,3.69
2023-02-28,3.57
2023-03-01,3.3
2023-03-02,2.35
2023-03-03,1.52
2023-03-04,0.18
2023-03-05,0.13
2023-03-06,4.83
2023-03-07,1.29
2023-03-08,1.01
2023-03-09,2.98
2023-03-10,0.36
2023-03-11,3.38
2023-03-12,4.4
2023-03-13,0.2
2023-03-14,0.8
2023-03-15,0.73
2023-03-16,7.57
2023-03-17,5.75
2023-03-19,3.35
2023-03-20,4.46
2023-03-21,3.29
2023-03-22,0.78
2023-03-23,2.66
2023-03-24,5.07
2023-03-25,6.83
2023-03-26,1.65
2023-03-27,4.98
2023-03-28,3.14
2023-03-29,0.28
2023-03-30,4.88
2023-03-31,0.52
2023-04-01,8.21
2023-04-02,0.13
2023-04-03,6.34
2023-04-04,0.68
2023-04-05,2.45
2023-04-06,2.35
2023-04-07,0.99
2023-04-08,2.23
2023-04-09,0.59
2023-04-10,4.27
2023-04-11,0.1
2023-04-12,4.9
2023-04-14,1.11
2023-04-15,2.1
2023-04-16,8.54
2023-04-17,1.19
2023-04-18,1.48
2023-04-19,1.27
2023-04-20,0.25
2023-04-21,7.42
2023-04-22,1.6
2023-04-23,5.35
2023-04-24,1.75
2023-04-25,5.12
2023-04-26,4.2
2023-04-27,2.62
2023-04-28,1.5
2023-04-29,7.24
2023-04-30,0.51
2023-05-01,2.8
2023-05-02,1.45
2023-05-03,1.52
2023-05-04,0.88
2023-05-05,0.09
2023-05-06,2.15
2023-05-07,0.43
2023-05-08,0.36
2023-05-09,6.39
2023-05-10,0.05
2023-05-12,7.77
2023-05-13,1.4
2023-05-14,3.04
2023-05-15,0.05
2023-05-16,2.59
2023-05-17,2.17
2023-05-18,4.13
2023-05-19,8.75
2023-05-20,3.87
2023-05-21,2.94
2023-05-22,2.79
2023-05-23,1.16
2023-05-24,2.1
2023-05-25,1.32
2023-05-26,2.54
2023-05-27,4.14
2023-05-28,0.92
2023-05-29,1.21
2023-05-30,4.5
2023-05-31,4.86
2023-06-01,4.1
2023-06-02,1.72
2023-06-03,1.26
2023-06-04,5.72
2023-06-05,1.18
2023-06-06,3.36
2023-06-07,0.67
2023-06-08,5.32
2023-06-09,4.59
2023-06-10,9.4
2023-06-11,1.43
2023-06-12,5.34
2023-06-13,3.84
2023-06-14,2.77
2023-06-15,7.53
2023-06-16,0.27
2023-06-17,0.58
2023-06-18,0.96
2023-06-19,0.12
2023-06-20,1.9
2023-06-21,6.0
2023-06-22,2.78
2023-06-23,2.23
2023-06-24,1.08
2023-06-25,4.35
2023-06-26,2.48
2023-06-28,5.11
2023-06-29,3.55
2023-06-30,7.32
2023-07-01,3.52
2023-07-02,8.02
2023-07-03,0.65
2023-07-04,3.3
2023-07-05,0.33
2023-07-06,6.3
2023-07-08,5.72
2023-07-09,1.59
2023-07-10,1.98
2023-07-11,0.02
2023-07-12,4.07
2023-07-13,1.3
2023-07-14,8.08
2023-07-15,7.5
2023-07-16,1.98
2023-07-17,0.62
2023-07-18,4.79
2023-07-19,3.33
2023-07-20,3.27
2023-07-21,1.5
2023-07-22,2.66
2023-07-23,0.6
2023-07-24,1.56
2023-07-25,0.3
2023-07-26,5.89
2023-07-27,5.42
2023-07-28,1.29
2023-07-29,6.77
2023-07-30,0.43
2023-07-31,2.19
2023-08-01,4.65
2023-08-02,3.95
2023-08-03,1.64
2023-08-04,1.27
2023-08-05,5.25
2023-08-07,5.63
2023-08-08,0.59
2023-08-09,7.11
2023-08-10,0.71
2023-08-11,1.37
2023-08-12,0.38
2023-08-13,1.56
2023-08-14,4.66
2023-08-15,5.08
2023-08-16,3.29
2023-08-17,0.8
2023-08-18,2.48
2023-08-19,0.84
2023-08-20,0.87
2023-08-21,2.57
2023-08-22,2.64
2023-08-24,1.18
2023-08-25,4.36
2023-08-26,6.64
2023-08-27,2.16
2023-08-28,1.41
2023-08-29,5.92
2023-08-30,4.08
2023-08-31,2.48
2023-09-01,0.5
2023-09-02,0.14
2023-09-03,1.67
2023-09-04,2.49
2023-09-05,6.76
2023-09-06,7.6
2023-09-07,7.5
2023-09-09,9.77
2023-09-10,2.5
2023-09-11,0.46
2023-09-12,7.67
2023-09-13,1.49
2023-09-14,2.73
2023-09-15,0.02
2023-09-16,3.84
2023-09-17,2.38
2023-09-18,2.26
2023-09-19,7.3
2023-09-20,5.86
2023-09-22,3.92
2023-09-23,4.48
2023-09-24,5.18
2023-09-25,0.1
